ad_id,brand,product_id,timestamp,impressions,clicks
AD0114,Brand C,P002,2023-09-15 15:53:00,3822,201
AD0115,Brand A,P003,2023-09-15 15:54:00,2301,59
AD0116,Brand C,P001,2023-09-15 15:55:00,4287,229
AD0117,Brand A,P002,2023-09-15 15:56:00,2690,116
AD0118,Brand B,P004,2023-09-15 15:57:00,3563,66
AD0119,Brand A,P004,2023-09-15 15:58:00,1648,134
AD0120,Brand C,P002,2023-09-15 15:59:00,2362,274
AD0121,Brand B,P002,2023-09-15 16:00:00,1865,221
AD0122,Brand A,P004,2023-09-15 16:01:00,1475,137
AD0123,Brand C,P003,2023-09-15 16:02:00,3350,250
AD0124,Brand C,P004,2023-09-15 16:03:00,3771,149
AD0125,Brand A,P001,2023-09-15 16:04:00,1633,270
AD0126,Brand C,P003,2023-09-15 16:05:00,4810,248
AD0127,Brand A,P002,2023-09-15 16:06:00,1495,273
AD0128,Brand A,P003,2023-09-15 16:07:00,2004,77
AD0129,Brand A,P003,2023-09-15 16:08:00,1888,153
AD0130,Brand A,P001,2023-09-15 16:09:00,2407,139
AD0131,Brand C,P001,2023-09-15 16:10:00,1801,162
AD0132,Brand C,P002,2023-09-15 16:11:00,3341,148
AD0133,Brand B,P003,2023-09-15 16:12:00,4606,298
AD0134,Brand B,P004,2023-09-15 16:13:00,1106,295
AD0135,Brand A,P002,2023-09-15 16:14:00,3918,253
AD0136,Brand B,P003,2023-09-15 16:15:00,4750,263
AD0137,Brand C,P001,2023-09-15 16:16:00,4145,101
AD0138,Brand B,P001,2023-09-15 16:17:00,1355,154
AD0139,Brand C,P001,2023-09-15 16:18:00,2670,149
AD0140,Brand C,P004,2023-09-15 16:19:00,3994,164
AD0141,Brand C,P004,2023-09-15 16:20:00,1865,166
AD0142,Brand A,P003,2023-09-15 16:21:00,1028,70
AD0143,Brand A,P003,2023-09-15 16:22:00,1797,161
AD0144,Brand A,P002,2023-09-15 16:23:00,1733,116
AD0145,Brand C,P004,2023-09-15 16:24:00,3464,157
AD0146,Brand C,P001,2023-09-15 16:25:00,1741,146
AD0147,Brand C,P002,2023-09-15 16:26:00,1233,105
AD0148,Brand A,P002,2023-09-15 16:27:00,2173,129
AD0149,Brand C,P002,2023-09-15 16:28:00,4682,98
AD0150,Brand A,P003,2023-09-15 16:29:00,3288,253
AD0151,Brand C,P001,2023-09-15 16:30:00,4902,148
AD0152,Brand C,P001,2023-09-15 16:31:00,2529,147
AD0153,Brand C,P002,2023-09-15 16:32:00,3894,178
AD0154,Brand A,P004,2023-09-15 16:33:00,2198,188
AD0155,Brand C,P002,2023-09-15 16:34:00,4937,213
AD0156,Brand B,P001,2023-09-15 16:35:00,2585,187
AD0157,Brand A,P004,2023-09-15 16:36:00,2543,167
AD0158,Brand B,P003,2023-09-15 16:37:00,1038,104
AD0159,Brand B,P002,2023-09-15 16:38:00,2346,214
AD0160,Brand B,P003,2023-09-15 16:39:00,4642,203
AD0161,Brand C,P002,2023-09-15 16:40:00,4236,203
AD0162,Brand A,P002,2023-09-15 16:41:00,1307,221
AD0163,Brand C,P003,2023-09-15 16:42:00,1023,169
AD0164,Brand A,P004,2023-09-15 16:43:00,2407,83
AD0165,Brand C,P004,2023-09-15 16:44:00,3915,159
AD0166,Brand C,P003,2023-09-15 16:45:00,1168,221
AD0167,Brand B,P004,2023-09-15 16:46:00,3136,115
AD0168,Brand B,P004,2023-09-15 16:47:00,2105,111
AD0169,Brand C,P001,2023-09-15 16:48:00,2854,209
AD0170,Brand A,P001,2023-09-15 16:49:00,1655,117
AD0171,Brand A,P002,2023-09-15 16:50:00,2573,104
AD0172,Brand A,P003,2023-09-15 16:51:00,3082,109
AD0173,Brand B,P001,2023-09-15 16:52:00,1765,192
AD0174,Brand A,P004,2023-09-15 16:53:00,3490,96
AD0175,Brand B,P003,2023-09-15 16:54:00,1465,258
AD0176,Brand B,P001,2023-09-15 16:55:00,4615,264
AD0177,Brand B,P001,2023-09-15 16:56:00,4224,56
AD0178,Brand C,P003,2023-09-15 16:57:00,1744,207
AD0179,Brand C,P002,2023-09-15 16:58:00,3979,151
AD0180,Brand A,P003,2023-09-15 16:59:00,1322,139
AD0181,Brand C,P004,2023-09-15 17:00:00,2080,154
AD0182,Brand B,P003,2023-09-15 17:01:00,4929,105
AD0183,Brand B,P003,2023-09-15 17:02:00,4395,266
AD0184,Brand B,P001,2023-09-15 17:03:00,3623,219
AD0185,Brand B,P003,2023-09-15 17:04:00,4809,123
AD0186,Brand A,P002,2023-09-15 17:05:00,4249,183
AD0187,Brand C,P001,2023-09-15 17:06:00,2581,280
AD0188,Brand C,P001,2023-09-15 17:07:00,2090,68
AD0189,Brand C,P001,2023-09-15 17:08:00,2739,210
AD0190,Brand C,P001,2023-09-15 17:09:00,3882,142
AD0191,Brand C,P003,2023-09-15 17:10:00,3842,123
AD0192,Brand B,P003,2023-09-15 17:11:00,2098,174
AD0193,Brand A,P004,2023-09-15 17:12:00,1192,240
AD0194,Brand C,P003,2023-09-15 17:13:00,2720,139
AD0195,Brand A,P002,2023-09-15 17:14:00,1996,280
AD0196,Brand A,P003,2023-09-15 17:15:00,4591,55
AD0197,Brand A,P002,2023-09-15 17:16:00,2242,119
AD0198,Brand A,P004,2023-09-15 17:17:00,4228,242
AD0199,Brand C,P004,2023-09-15 17:18:00,2693,122
AD0200,Brand B,P002,2023-09-15 17:19:00,1743,95
AD0201,Brand C,P001,2023-09-15 17:20:00,1327,132
AD0202,Brand B,P002,2023-09-15 17:21:00,1416,292
AD0203,Brand A,P004,2023-09-15 17:22:00,4563,55
AD0204,Brand C,P002,2023-09-15 17:23:00,4964,99
AD0205,Brand A,P003,2023-09-15 17:24:00,2266,108
AD0206,Brand A,P002,2023-09-15 17:25:00,3690,82
AD0207,Brand B,P004,2023-09-15 17:26:00,3542,176
AD0208,Brand B,P004,2023-09-15 17:27:00,2296,152
AD0209,Brand C,P001,2023-09-15 17:28:00,2074,130
AD0210,Brand A,P003,2023-09-15 17:29:00,1011,244
AD0211,Brand C,P004,2023-09-15 17:30:00,4620,60
AD0212,Brand C,P003,2023-09-15 17:31:00,2892,152
AD0213,Brand B,P003,2023-09-15 17:32:00,3742,226
AD0214,Brand C,P002,2023-09-15 17:33:00,3022,115
AD0215,Brand C,P002,2023-09-15 17:34:00,2204,68
AD0216,Brand B,P003,2023-09-15 17:35:00,4038,205
AD0217,Brand B,P002,2023-09-15 17:36:00,3820,202
AD0218,Brand C,P001,2023-09-15 17:37:00,4019,151
AD0219,Brand C,P002,2023-09-15 17:38:00,2697,201
AD0220,Brand C,P001,2023-09-15 17:39:00,1961,204
AD0221,Brand A,P002,2023-09-15 17:40:00,2870,259
AD0222,Brand C,P004,2023-09-15 17:41:00,3432,137
AD0223,Brand A,P003,2023-09-15 17:42:00,1704,218
AD0224,Brand C,P004,2023-09-15 17:43:00,2530,242
AD0225,Brand A,P001,2023-09-15 17:44:00,1709,267
AD0226,Brand A,P001,2023-09-15 17:45:00,2422,277
AD0227,Brand A,P003,2023-09-15 17:46:00,4410,280
AD0228,Brand B,P001,2023-09-15 17:47:00,4184,212
AD0229,Brand A,P002,2023-09-15 17:48:00,3043,207
AD0230,Brand A,P002,2023-09-15 17:49:00,1717,82
AD0231,Brand A,P002,2023-09-15 17:50:00,2320,96
AD0232,Brand C,P002,2023-09-15 17:51:00,1938,116
AD0233,Brand C,P004,2023-09-15 17:52:00,2725,199
AD0234,Brand B,P001,2023-09-15 17:53:00,3022,279
AD0235,Brand A,P002,2023-09-15 17:54:00,3094,256
AD0236,Brand C,P003,2023-09-15 17:55:00,2166,78
AD0237,Brand A,P001,2023-09-15 17:56:00,3919,128
AD0238,Brand A,P003,2023-09-15 17:57:00,2876,218
AD0239,Brand B,P004,2023-09-15 17:58:00,4350,298
AD0240,Brand A,P004,2023-09-15 17:59:00,1163,249
AD0241,Brand C,P003,2023-09-15 18:00:00,1156,289
AD0242,Brand C,P004,2023-09-15 18:01:00,2073,84
AD0243,Brand A,P004,2023-09-15 18:02:00,3805,162
AD0244,Brand A,P003,2023-09-15 18:03:00,1814,83
AD0245,Brand C,P001,2023-09-15 18:04:00,4622,186
AD0246,Brand C,P001,2023-09-15 18:05:00,3561,79
AD0247,Brand C,P001,2023-09-15 18:06:00,4019,256
AD0248,Brand A,P001,2023-09-15 18:07:00,4984,270
AD0249,Brand A,P001,2023-09-15 18:08:00,3305,66
AD0250,Brand B,P001,2023-09-15 18:09:00,1054,108
AD0251,Brand C,P004,2023-09-15 18:10:00,3673,153
AD0252,Brand B,P003,2023-09-15 18:11:00,1371,214
AD0253,Brand A,P001,2023-09-15 18:12:00,3366,161
AD0254,Brand A,P003,2023-09-15 18:13:00,1859,192
AD0255,Brand B,P002,2023-09-15 18:14:00,4260,58
AD0256,Brand A,P004,2023-09-15 18:15:00,3428,274
AD0257,Brand A,P001,2023-09-15 18:16:00,3302,158
AD0258,Brand B,P001,2023-09-15 18:17:00,2741,97
AD0259,Brand A,P001,2023-09-15 18:18:00,2112,131
AD0260,Brand C,P001,2023-09-15 18:19:00,4073,91
AD0261,Brand A,P003,2023-09-15 18:20:00,3617,105
AD0262,Brand C,P001,2023-09-15 18:21:00,2191,184
AD0263,Brand A,P003,2023-09-15 18:22:00,2738,211
AD0264,Brand B,P004,2023-09-15 18:23:00,4237,216
AD0265,Brand B,P004,2023-09-15 18:24:00,2439,262
AD0266,Brand B,P001,2023-09-15 18:25:00,1112,104
AD0267,Brand B,P001,2023-09-15 18:26:00,3204,77
AD0268,Brand C,P003,2023-09-15 18:27:00,1523,73
AD0269,Brand C,P002,2023-09-15 18:28:00,2179,282
AD0270,Brand A,P001,2023-09-15 18:29:00,1705,294
AD0271,Brand B,P002,2023-09-15 18:30:00,1244,98
AD0272,Brand C,P001,2023-09-15 18:31:00,1004,266
AD0273,Brand B,P004,2023-09-15 18:32:00,2577,164
AD0274,Brand C,P002,2023-09-15 18:33:00,4168,154
AD0275,Brand A,P001,2023-09-15 18:34:00,1178,258
AD0276,Brand B,P001,2023-09-15 18:35:00,4458,93
AD0277,Brand A,P004,2023-09-15 18:36:00,1998,62
AD0278,Brand C,P001,2023-09-15 18:37:00,3254,212
AD0279,Brand B,P001,2023-09-15 18:38:00,4197,213
AD0280,Brand C,P001,2023-09-15 18:39:00,2260,105
AD0281,Brand B,P003,2023-09-15 18:40:00,1604,65
AD0282,Brand B,P003,2023-09-15 18:41:00,2796,74
AD0283,Brand C,P004,2023-09-15 18:42:00,1127,100
AD0284,Brand C,P003,2023-09-15 18:43:00,4468,278
AD0285,Brand A,P001,2023-09-15 18:44:00,4681,78
AD0286,Brand B,P003,2023-09-15 18:45:00,1555,87
AD0287,Brand A,P004,2023-09-15 18:46:00,3806,233
AD0288,Brand B,P004,2023-09-15 18:47:00,1196,105
AD0289,Brand C,P002,2023-09-15 18:48:00,2286,202
AD0290,Brand A,P002,2023-09-15 18:49:00,2338,293
AD0291,Brand C,P002,2023-09-15 18:50:00,3389,184
AD0292,Brand C,P001,2023-09-15 18:51:00,3760,143
AD0293,Brand C,P002,2023-09-15 18:52:00,4727,277
AD0294,Brand C,P001,2023-09-15 18:53:00,3790,213
AD0295,Brand A,P003,2023-09-15 18:54:00,1497,228
AD0296,Brand A,P001,2023-09-15 18:55:00,2964,73
AD0297,Brand B,P004,2023-09-15 18:56:00,3009,50
AD0298,Brand A,P002,2023-09-15 18:57:00,3419,220
AD0299,Brand B,P003,2023-09-15 18:58:00,3215,141
AD0300,Brand A,P003,2023-09-15 18:59:00,2574,216
AD0301,Brand A,P004,2023-09-15 19:00:00,3167,58
AD0302,Brand B,P002,2023-09-15 19:01:00,2992,52
AD0303,Brand C,P004,2023-09-15 19:02:00,2095,97
AD0304,Brand C,P002,2023-09-15 19:03:00,4042,221
AD0305,Brand B,P004,2023-09-15 19:04:00,4653,133
AD0306,Brand B,P001,2023-09-15 19:05:00,3840,124
AD0307,Brand B,P004,2023-09-15 19:06:00,2431,168
AD0308,Brand B,P001,2023-09-15 19:07:00,1345,179
AD0309,Brand A,P001,2023-09-15 19:08:00,2786,81
AD0310,Brand C,P001,2023-09-15 19:09:00,4599,71
AD0311,Brand B,P003,2023-09-15 19:10:00,4752,172
AD0312,Brand B,P004,2023-09-15 19:11:00,1025,247
AD0313,Brand C,P002,2023-09-15 19:12:00,2877,278
AD0314,Brand A,P001,2023-09-15 19:13:00,2485,244
AD0315,Brand C,P004,2023-09-15 19:14:00,4927,244
AD0316,Brand B,P003,2023-09-15 19:15:00,4214,56
AD0317,Brand C,P002,2023-09-15 19:16:00,4765,246
AD0318,Brand A,P004,2023-09-15 19:17:00,3197,203
AD0319,Brand B,P003,2023-09-15 19:18:00,3467,289
AD0320,Brand B,P001,2023-09-15 19:19:00,3453,133
AD0321,Brand B,P001,2023-09-15 19:20:00,1110,60
AD0322,Brand C,P001,2023-09-15 19:21:00,2947,291
AD0323,Brand A,P004,2023-09-15 19:22:00,3652,74
AD0324,Brand B,P001,2023-09-15 19:23:00,2685,84
AD0325,Brand C,P002,2023-09-15 19:24:00,1008,221
AD0326,Brand C,P001,2023-09-15 19:25:00,2362,233
AD0327,Brand C,P001,2023-09-15 19:26:00,4243,258
AD0328,Brand B,P004,2023-09-15 19:27:00,4862,188
AD0329,Brand A,P001,2023-09-15 19:28:00,1279,288
AD0330,Brand C,P003,2023-09-15 19:29:00,2794,276
AD0331,Brand A,P004,2023-09-15 19:30:00,2708,297
AD0332,Brand C,P004,2023-09-15 19:31:00,3752,143
AD0333,Brand A,P004,2023-09-15 19:32:00,1719,225
AD0334,Brand C,P003,2023-09-15 19:33:00,4217,180
AD0335,Brand A,P002,2023-09-15 19:34:00,2280,202
AD0336,Brand A,P004,2023-09-15 19:35:00,4691,259
AD0337,Brand B,P002,2023-09-15 19:36:00,1568,64
AD0338,Brand B,P004,2023-09-15 19:37:00,3942,155
AD0339,Brand B,P002,2023-09-15 19:38:00,4735,278
AD0340,Brand A,P003,2023-09-15 19:39:00,2644,95
AD0341,Brand A,P002,2023-09-15 19:40:00,4182,110
AD0342,Brand C,P004,2023-09-15 19:41:00,3129,250
AD0343,Brand A,P003,2023-09-15 19:42:00,4726,94
AD0344,Brand B,P001,2023-09-15 19:43:00,1992,199
AD0345,Brand A,P004,2023-09-15 19:44:00,3471,151
AD0346,Brand A,P001,2023-09-15 19:45:00,4629,217
AD0347,Brand B,P003,2023-09-15 19:46:00,1931,241
AD0348,Brand C,P003,2023-09-15 19:47:00,3749,128
AD0349,Brand A,P004,2023-09-15 19:48:00,1856,193
AD0350,Brand C,P002,2023-09-15 19:49:00,2466,284
AD0351,Brand C,P001,2023-09-15 19:50:00,1523,183
AD0352,Brand C,P004,2023-09-15 19:51:00,1472,234
AD0353,Brand C,P003,2023-09-15 19:52:00,3978,299
AD0354,Brand A,P003,2023-09-15 19:53:00,2417,144
AD0355,Brand A,P001,2023-09-15 19:54:00,3247,147
AD0356,Brand C,P004,2023-09-15 19:55:00,4802,152
AD0357,Brand B,P004,2023-09-15 19:56:00,3041,112
AD0358,Brand A,P003,2023-09-15 19:57:00,4093,126
AD0359,Brand C,P004,2023-09-15 19:58:00,3806,223
AD0360,Brand A,P001,2023-09-15 19:59:00,4010,105
AD0361,Brand A,P002,2023-09-15 20:00:00,4250,150
AD0362,Brand C,P001,2023-09-15 20:01:00,3550,166
AD0363,Brand B,P004,2023-09-15 20:02:00,4416,287
AD0364,Brand C,P002,2023-09-15 20:03:00,3553,104
AD0365,Brand A,P004,2023-09-15 20:04:00,1411,118
AD0366,Brand C,P001,2023-09-15 20:05:00,1395,64
AD0367,Brand C,P003,2023-09-15 20:06:00,3150,169
AD0368,Brand B,P001,2023-09-15 20:07:00,3209,93
AD0369,Brand A,P002,2023-09-15 20:08:00,4351,199
AD0370,Brand A,P001,2023-09-15 20:09:00,4158,183
AD0371,Brand B,P001,2023-09-15 20:10:00,3820,237
AD0372,Brand B,P004,2023-09-15 20:11:00,3651,206
AD0373,Brand A,P004,2023-09-15 20:12:00,4204,157
AD0374,Brand A,P003,2023-09-15 20:13:00,2670,160
AD0375,Brand B,P003,2023-09-15 20:14:00,4051,257
AD0376,Brand A,P004,2023-09-15 20:15:00,3634,160
AD0377,Brand B,P004,2023-09-15 20:16:00,3789,146
AD0378,Brand C,P003,2023-09-15 20:17:00,3834,131
AD0379,Brand C,P003,2023-09-15 20:18:00,1619,268
AD0380,Brand A,P001,2023-09-15 20:19:00,1278,149
AD0381,Brand B,P001,2023-09-15 20:20:00,3317,239
AD0382,Brand C,P003,2023-09-15 20:21:00,1502,205
AD0383,Brand B,P004,2023-09-15 20:22:00,4085,289
AD0384,Brand C,P001,2023-09-15 20:23:00,2865,150
AD0385,Brand B,P003,2023-09-15 20:24:00,4627,218
AD0386,Brand B,P002,2023-09-15 20:25:00,1629,227
AD0387,Brand B,P004,2023-09-15 20:26:00,4781,162
AD0388,Brand B,P003,2023-09-15 20:27:00,4602,128
AD0389,Brand C,P003,2023-09-15 20:28:00,3694,286
AD0390,Brand A,P001,2023-09-15 20:29:00,4246,148
AD0391,Brand C,P003,2023-09-15 20:30:00,2769,151
AD0392,Brand C,P004,2023-09-15 20:31:00,4234,104
AD0393,Brand B,P002,2023-09-15 20:32:00,2733,60
AD0394,Brand A,P002,2023-09-15 20:33:00,2675,141
AD0395,Brand C,P002,2023-09-15 20:34:00,3406,196
AD0396,Brand A,P001,2023-09-15 20:35:00,1250,262
AD0397,Brand C,P002,2023-09-15 20:36:00,2621,292
AD0398,Brand B,P003,2023-09-15 20:37:00,4910,254
AD0399,Brand B,P002,2023-09-15 20:38:00,2931,105
AD0400,Brand A,P001,2023-09-15 20:39:00,4456,176
AD0401,Brand B,P003,2023-09-15 20:40:00,1079,244
AD0402,Brand B,P004,2023-09-15 20:41:00,2960,123
AD0403,Brand B,P002,2023-09-15 20:42:00,1644,218
AD0404,Brand C,P001,2023-09-15 20:43:00,1110,198
AD0405,Brand C,P002,2023-09-15 20:44:00,4775,184
AD0406,Brand A,P002,2023-09-15 20:45:00,1991,266
AD0407,Brand B,P003,2023-09-15 20:46:00,3691,176
AD0408,Brand B,P002,2023-09-15 20:47:00,3424,94
AD0409,Brand B,P003,2023-09-15 20:48:00,4693,204
AD0410,Brand C,P004,2023-09-15 20:49:00,1422,296
AD0411,Brand C,P004,2023-09-15 20:50:00,3055,169
AD0412,Brand A,P004,2023-09-15 20:51:00,4782,237
AD0413,Brand B,P003,2023-09-15 20:52:00,2749,84
AD0414,Brand C,P001,2023-09-15 20:53:00,1918,268
AD0415,Brand B,P004,2023-09-15 20:54:00,2565,167
AD0416,Brand A,P002,2023-09-15 20:55:00,1878,155
AD0417,Brand B,P002,2023-09-15 20:56:00,4858,74
AD0418,Brand A,P003,2023-09-15 20:57:00,3244,75
AD0419,Brand A,P001,2023-09-15 20:58:00,2095,221
AD0420,Brand B,P001,2023-09-15 20:59:00,2654,104
AD0421,Brand C,P002,2023-09-15 21:00:00,3743,101
AD0422,Brand C,P002,2023-09-15 21:01:00,2995,241
AD0423,Brand C,P001,2023-09-15 21:02:00,1050,217
AD0424,Brand B,P001,2023-09-15 21:03:00,1078,268
AD0425,Brand A,P002,2023-09-15 21:04:00,1207,239
AD0426,Brand B,P003,2023-09-15 21:05:00,3385,242
AD0427,Brand A,P003,2023-09-15 21:06:00,3097,90
AD0428,Brand C,P001,2023-09-15 21:07:00,4859,170
AD0429,Brand A,P001,2023-09-15 21:08:00,3393,273
AD0430,Brand B,P001,2023-09-15 21:09:00,3260,276
AD0431,Brand B,P002,2023-09-15 21:10:00,2057,211
AD0432,Brand C,P004,2023-09-15 21:11:00,2706,89
AD0433,Brand A,P002,2023-09-15 21:12:00,4913,101
AD0434,Brand C,P004,2023-09-15 21:13:00,3324,131
AD0435,Brand C,P001,2023-09-15 21:14:00,4752,137
AD0436,Brand B,P003,2023-09-15 21:15:00,2638,203
AD0437,Brand A,P002,2023-09-15 21:16:00,4528,238
AD0438,Brand C,P003,2023-09-15 21:17:00,2714,295
AD0439,Brand A,P003,2023-09-15 21:18:00,2868,297
AD0440,Brand B,P001,2023-09-15 21:19:00,1144,137
AD0441,Brand C,P003,2023-09-15 21:20:00,4487,247
AD0442,Brand C,P001,2023-09-15 21:21:00,1922,105
AD0443,Brand C,P002,2023-09-15 21:22:00,3582,189
AD0444,Brand C,P004,2023-09-15 21:23:00,3984,171
AD0445,Brand B,P004,2023-09-15 21:24:00,3665,202
AD0446,Brand C,P003,2023-09-15 21:25:00,1379,102
AD0447,Brand B,P002,2023-09-15 21:26:00,4196,85
AD0448,Brand C,P004,2023-09-15 21:27:00,2279,65
AD0449,Brand C,P003,2023-09-15 21:28:00,3254,157
AD0450,Brand A,P002,2023-09-15 21:29:00,2211,249
