transaction_id,product_id,rep_id,date,revenue
T0070,P001,SR1291,2023-08-20,1831.35
T0071,P001,SR1258,2023-09-06,133.99
T0072,P003,SR020,2023-08-23,850.85
T0073,P003,SR2481,2023-08-16,111.63
T0074,P004,SR1226,2023-08-29,883.96
T0075,P001,SR1259,2023-09-07,271.76
T0076,P004,SR557,2023-08-22,1253.7
T0077,P003,SR1595,2023-08-24,239.52
T0078,P002,SR176,2023-09-02,1437.96
T0079,P004,SR827,2023-09-02,478.78
T0080,P002,SR695,2023-08-22,1489.87
T0081,P003,SR2436,2023-08-18,1404.95
T0082,P002,SR2334,2023-08-29,1938.68
T0083,P004,SR1145,2023-08-28,1453.75
T0084,P002,SR1196,2023-09-07,1760.43
T0085,P001,SR2324,2023-09-09,160.05
T0086,P003,SR1419,2023-09-14,1077.77
T0087,P002,SR1360,2023-08-18,1204.26
T0088,P004,SR1712,2023-09-05,596.32
T0089,P001,SR2317,2023-08-31,441.54
T0090,P001,SR1644,2023-08-22,855.64
T0091,P003,SR485,2023-09-06,589.19
T0092,P001,SR1470,2023-09-03,485.88
T0093,P002,SR512,2023-09-13,891.21
T0094,P004,SR1415,2023-08-24,1963.49
T0095,P001,SR713,2023-09-15,539.44
T0096,P004,SR2398,2023-08-23,307.02
T0097,P003,SR1861,2023-09-13,998.16
T0098,P002,SR1944,2023-08-27,1891.29
T0099,P002,SR1627,2023-09-14,1156.51
T0100,P003,SR1936,2023-08-23,1188.79
T0101,P002,SR727,2023-09-15,1588.93
T0102,P001,SR1921,2023-09-06,192.17
T0103,P004,SR674,2023-08-22,502.17
T0104,P003,SR185,2023-08-31,1377.66
T0105,P002,SR653,2023-09-05,1063.86
T0106,P002,SR724,2023-09-11,1375.94
T0107,P004,SR2498,2023-08-23,232.34
T0108,P004,SR892,2023-08-18,1140.2
T0109,P002,SR2579,2023-09-04,552.07
T0110,P003,SR2922,2023-09-06,1236.63
T0111,P004,SR383,2023-08-18,697.7
T0112,P001,SR2801,2023-09-13,1954.83
T0113,P002,SR1462,2023-09-11,443.96
T0114,P001,SR1266,2023-09-10,813.48
T0115,P003,SR168,2023-09-06,729.58
T0116,P004,SR278,2023-08-29,1380.78
T0117,P004,SR1351,2023-09-01,483.67
T0118,P004,SR1330,2023-09-01,1515.2
T0119,P001,SR1639,2023-08-20,605.36
T0120,P001,SR593,2023-09-14,890.62
T0121,P003,SR2973,2023-09-01,1221.68
T0122,P002,SR1047,2023-09-13,454.83
T0123,P001,SR1594,2023-08-24,1732.72
T0124,P003,SR1263,2023-09-13,1185.16
T0125,P002,SR2438,2023-08-20,141.15
T0126,P003,SR2759,2023-08-19,305.5
T0127,P004,SR027,2023-09-10,590.97
T0128,P004,SR1718,2023-08-16,1139.46
T0129,P004,SR993,2023-08-21,750.04
T0130,P001,SR2882,2023-09-11,1227.53
T0131,P001,SR615,2023-09-05,402.91
T0132,P001,SR716,2023-08-30,1785.76
T0133,P003,SR1536,2023-08-21,1388.68
T0134,P003,SR015,2023-09-07,1503.48
T0135,P004,SR2453,2023-09-07,537.73
T0136,P004,SR1216,2023-09-13,1109.17
T0137,P004,SR1376,2023-08-23,1984.35
T0138,P004,SR1089,2023-08-27,911.66
T0139,P004,SR831,2023-08-17,1689.68
T0140,P002,SR335,2023-08-23,744.33
T0141,P004,SR1005,2023-09-11,1148.77
T0142,P004,SR1707,2023-08-26,1362.81
T0143,P001,SR560,2023-08-19,144.05
T0144,P004,SR086,2023-09-10,980.93
T0145,P002,SR2398,2023-08-26,1294.67
T0146,P003,SR343,2023-08-18,887.19
T0147,P004,SR1392,2023-08-23,1666.24
T0148,P001,SR1772,2023-09-03,266.82
T0149,P003,SR1752,2023-09-10,1962.69
T0150,P004,SR2438,2023-09-10,1329.24
T0151,P002,SR731,2023-09-11,1178.79
T0152,P002,SR2105,2023-09-03,1655.93
T0153,P003,SR2814,2023-09-07,296.36
T0154,P004,SR2712,2023-09-07,1201.22
T0155,P003,SR2964,2023-08-18,143.22
T0156,P004,SR1339,2023-08-22,1013.8
T0157,P002,SR2470,2023-09-10,1494.68
T0158,P002,SR1423,2023-09-06,1707.91
T0159,P002,SR2386,2023-08-18,648.08
T0160,P003,SR2724,2023-09-10,348.98
T0161,P004,SR1720,2023-08-19,1295.9
T0162,P004,SR1567,2023-09-13,1737.64
T0163,P004,SR931,2023-08-23,1606.53
T0164,P001,SR795,2023-09-05,880.45
T0165,P003,SR1515,2023-09-09,968.07
T0166,P003,SR2112,2023-08-22,1596.63
T0167,P001,SR2315,2023-08-29,1264.62
T0168,P003,SR2563,2023-08-26,1584.51
T0169,P003,SR2525,2023-09-03,961.0
T0170,P003,SR1147,2023-08-29,1299.12
T0171,P003,SR2703,2023-08-19,724.47
T0172,P001,SR1050,2023-09-13,695.35
T0173,P004,SR043,2023-09-01,445.51
T0174,P001,SR2973,2023-08-17,778.16
T0175,P003,SR1721,2023-09-03,1270.25
T0176,P003,SR983,2023-09-07,535.78
T0177,P004,SR1731,2023-08-21,1509.72
T0178,P003,SR2283,2023-09-04,540.25
T0179,P003,SR1713,2023-08-21,1396.25
T0180,P004,SR2638,2023-08-29,760.65
T0181,P004,SR462,2023-08-24,488.72
T0182,P003,SR2529,2023-08-30,709.52
T0183,P003,SR2769,2023-09-14,1379.98
T0184,P002,SR1050,2023-09-01,257.28
T0185,P001,SR852,2023-09-03,1251.48
T0186,P003,SR2828,2023-09-15,398.02
T0187,P002,SR1681,2023-09-10,760.89
T0188,P004,SR254,2023-08-21,1642.55
T0189,P003,SR384,2023-09-10,1613.77
T0190,P003,SR105,2023-08-17,1496.6
T0191,P004,SR2259,2023-08-30,1654.9
T0192,P002,SR943,2023-09-06,208.67
T0193,P003,SR2344,2023-08-16,362.78
T0194,P003,SR1624,2023-09-12,1949.58
T0195,P004,SR767,2023-08-18,659.36
T0196,P002,SR1979,2023-08-21,1525.0
T0197,P001,SR661,2023-08-26,1451.48
T0198,P004,SR712,2023-09-08,383.42
T0199,P004,SR2996,2023-09-14,330.91
T0200,P003,SR1067,2023-09-09,1625.7
T0201,P002,SR586,2023-09-01,1299.35
T0202,P004,SR2454,2023-08-25,1578.26
T0203,P004,SR922,2023-08-27,671.51
T0204,P003,SR1959,2023-08-17,1361.24
T0205,P003,SR1232,2023-08-21,140.49
T0206,P002,SR2267,2023-09-12,646.41
T0207,P003,SR506,2023-08-16,965.21
T0208,P001,SR1862,2023-08-17,838.94
T0209,P001,SR2697,2023-09-06,1929.1
T0210,P001,SR1798,2023-08-25,728.24
T0211,P004,SR170,2023-09-08,1620.42
T0212,P004,SR469,2023-09-14,1394.27
T0213,P001,SR515,2023-08-21,1598.47
T0214,P001,SR2333,2023-09-12,806.99
T0215,P001,SR087,2023-09-06,1823.42
T0216,P002,SR203,2023-09-11,1495.95
T0217,P002,SR643,2023-08-27,882.76
T0218,P004,SR2613,2023-09-05,380.82
T0219,P004,SR2822,2023-08-29,1631.76
T0220,P004,SR2188,2023-09-06,1031.62
T0221,P002,SR1922,2023-09-09,981.24
T0222,P003,SR382,2023-09-14,1004.2
T0223,P001,SR1320,2023-09-10,1240.55
T0224,P003,SR808,2023-09-09,1024.42
T0225,P004,SR2966,2023-08-27,350.74
T0226,P002,SR1565,2023-08-31,659.36
T0227,P001,SR1747,2023-09-07,1462.52
T0228,P002,SR2836,2023-08-23,1221.24
T0229,P001,SR950,2023-08-22,1308.18
T0230,P004,SR1810,2023-08-17,1453.65
T0231,P001,SR333,2023-09-03,931.78
T0232,P004,SR032,2023-08-31,1203.35
T0233,P001,SR2263,2023-08-28,791.5
T0234,P001,SR1790,2023-09-15,140.18
T0235,P002,SR1927,2023-08-19,1891.68
T0236,P003,SR1264,2023-08-16,372.02
T0237,P004,SR2283,2023-08-19,948.22
T0238,P004,SR2912,2023-09-03,250.31
T0239,P001,SR1042,2023-09-08,1863.49
T0240,P003,SR864,2023-09-15,395.79
T0241,P001,SR1413,2023-08-30,547.74
T0242,P002,SR1319,2023-08-29,116.24
T0243,P001,SR638,2023-08-21,1576.79
T0244,P003,SR1539,2023-09-07,1560.43
T0245,P001,SR1044,2023-09-03,221.18
T0246,P003,SR1399,2023-08-30,1526.06
T0247,P003,SR1884,2023-08-19,1643.68
T0248,P004,SR1980,2023-08-26,914.85
T0249,P003,SR1348,2023-09-05,876.74
T0250,P002,SR2963,2023-08-27,191.42
T0251,P003,SR2700,2023-09-03,1066.61
T0252,P002,SR374,2023-09-04,1359.76
T0253,P004,SR2310,2023-08-18,360.64
T0254,P001,SR496,2023-09-05,663.1
T0255,P001,SR2169,2023-09-01,1602.61
T0256,P002,SR1137,2023-09-10,339.01
T0257,P001,SR2052,2023-08-16,1509.98
T0258,P001,SR2328,2023-09-13,1250.1
T0259,P003,SR2492,2023-09-04,913.29
T0260,P001,SR2080,2023-09-08,989.43
T0261,P002,SR741,2023-09-03,1041.03
T0262,P004,SR2886,2023-08-28,600.26
T0263,P003,SR1575,2023-09-12,1942.66
T0264,P001,SR1803,2023-09-15,412.49
T0265,P004,SR2057,2023-08-18,1729.99
T0266,P004,SR1608,2023-08-16,1038.23
T0267,P001,SR2548,2023-08-30,106.02
T0268,P002,SR2425,2023-08-19,647.86
T0269,P003,SR2394,2023-08-22,774.13
T0270,P004,SR2416,2023-08-29,1392.79
T0271,P004,SR1654,2023-08-26,171.69
T0272,P001,SR2075,2023-09-06,1513.49
T0273,P002,SR046,2023-08-27,998.18
T0274,P001,SR1727,2023-08-30,757.98
T0275,P004,SR2845,2023-09-04,970.69
T0276,P004,SR545,2023-08-31,1329.15
T0277,P002,SR159,2023-08-16,1110.98
T0278,P001,SR2139,2023-09-06,1749.45
T0279,P001,SR2565,2023-08-29,882.1
T0280,P004,SR2652,2023-08-27,1491.76
T0281,P003,SR2922,2023-09-07,1885.97
T0282,P004,SR1848,2023-08-31,979.8
T0283,P002,SR1428,2023-08-16,1301.3
T0284,P001,SR2786,2023-09-07,942.32
T0285,P003,SR2100,2023-08-23,790.61
T0286,P004,SR603,2023-08-25,1928.27
T0287,P004,SR383,2023-08-19,1774.07
T0288,P002,SR1137,2023-08-20,1039.22
T0289,P004,SR455,2023-09-10,734.57
T0290,P002,SR2513,2023-08-28,732.61
T0291,P001,SR2563,2023-08-17,1494.24
T0292,P001,SR2618,2023-08-22,1826.85
T0293,P001,SR1291,2023-08-26,1696.58
T0294,P004,SR1515,2023-08-16,542.88
T0295,P002,SR2905,2023-09-04,1644.59
T0296,P003,SR2250,2023-09-14,1392.6
T0297,P001,SR2665,2023-08-21,951.17
T0298,P004,SR1751,2023-09-13,980.68
T0299,P003,SR1291,2023-08-27,846.97
T0300,P001,SR188,2023-09-10,180.44
T0301,P002,SR2163,2023-09-14,1886.15
T0302,P004,SR2811,2023-08-22,1573.24
T0303,P001,SR2534,2023-08-18,1553.28
T0304,P001,SR1923,2023-09-14,1078.42
T0305,P002,SR1026,2023-08-26,1659.14
T0306,P001,SR1531,2023-09-13,1744.8
T0307,P002,SR2119,2023-08-29,1284.61
T0308,P003,SR2681,2023-09-06,410.27
T0309,P004,SR1550,2023-09-07,1152.03
T0310,P001,SR2066,2023-08-30,649.68
T0311,P004,SR1061,2023-09-07,847.92
T0312,P002,SR2446,2023-08-23,220.84
T0313,P003,SR661,2023-08-20,1352.2
T0314,P004,SR579,2023-09-07,1689.74
T0315,P001,SR2299,2023-09-07,1866.59
T0316,P004,SR1137,2023-09-06,1147.1
T0317,P003,SR2599,2023-08-28,1053.1
T0318,P002,SR851,2023-08-25,446.37
T0319,P001,SR1106,2023-08-24,1608.29
T0320,P001,SR2265,2023-09-12,100.14
T0321,P004,SR1749,2023-08-31,682.24
T0322,P003,SR1146,2023-09-10,601.96
T0323,P003,SR1351,2023-09-12,1966.6
T0324,P001,SR2809,2023-09-07,153.76
T0325,P004,SR2163,2023-09-01,1130.12
T0326,P001,SR307,2023-08-18,1285.32
T0327,P002,SR1713,2023-08-27,430.95
T0328,P002,SR713,2023-09-08,1555.31
T0329,P003,SR1755,2023-09-12,622.89
T0330,P003,SR535,2023-08-26,1234.29
T0331,P003,SR1879,2023-08-25,161.7
T0332,P002,SR121,2023-09-10,695.94
T0333,P004,SR033,2023-09-01,1340.07
T0334,P001,SR773,2023-08-28,1004.82
T0335,P004,SR1883,2023-08-27,697.9
T0336,P001,SR2971,2023-09-15,1962.39
T0337,P004,SR2031,2023-09-13,333.8
T0338,P002,SR1447,2023-08-28,515.96
T0339,P002,SR206,2023-08-16,1378.8
T0340,P004,SR396,2023-09-15,1971.16
T0341,P004,SR1191,2023-08-30,1967.04
T0342,P003,SR1513,2023-09-15,1284.53
T0343,P002,SR2342,2023-09-03,989.01
T0344,P002,SR2300,2023-09-02,1310.63
T0345,P004,SR627,2023-08-28,816.38
T0346,P003,SR1387,2023-08-20,414.9
T0347,P001,SR1221,2023-08-29,1010.68
T0348,P004,SR1314,2023-09-02,1138.3
T0349,P004,SR2614,2023-09-10,1577.01
T0350,P002,SR328,2023-09-02,1540.25
T0351,P001,SR1466,2023-08-19,1945.56
T0352,P001,SR1767,2023-09-09,1720.9
T0353,P002,SR106,2023-09-04,535.04
T0354,P001,SR1038,2023-08-17,1076.03
T0355,P003,SR1815,2023-09-06,905.01
T0356,P001,SR179,2023-08-22,372.18
T0357,P004,SR594,2023-09-12,1920.37
T0358,P004,SR1013,2023-08-25,1926.67
T0359,P004,SR1781,2023-09-05,557.69
T0360,P001,SR816,2023-09-08,945.9
T0361,P001,SR1814,2023-08-24,562.0
T0362,P002,SR2272,2023-09-03,778.74
T0363,P001,SR106,2023-09-15,1360.09
T0364,P002,SR2139,2023-08-25,341.91
T0365,P002,SR2912,2023-08-26,780.0
T0366,P002,SR1776,2023-09-06,334.68
T0367,P002,SR692,2023-08-31,657.83
T0368,P001,SR263,2023-08-25,726.36
T0369,P002,SR2207,2023-08-31,1260.23
T0370,P001,SR1854,2023-08-18,602.82
T0371,P003,SR874,2023-08-26,1422.75
T0372,P002,SR1312,2023-09-04,1304.2
T0373,P001,SR2837,2023-08-16,1148.48
T0374,P002,SR104,2023-08-26,1374.05
T0375,P001,SR2020,2023-08-17,118.39
T0376,P004,SR1587,2023-08-21,1337.99
T0377,P001,SR1734,2023-08-22,1312.34
T0378,P002,SR2841,2023-09-11,1011.94
T0379,P003,SR2923,2023-08-18,1658.91
T0380,P001,SR281,2023-08-21,116.91
T0381,P004,SR1752,2023-08-24,1968.87
T0382,P003,SR639,2023-09-14,254.45
T0383,P002,SR2698,2023-08-28,328.6
T0384,P003,SR2263,2023-08-25,602.76
T0385,P001,SR1654,2023-08-17,750.79
T0386,P001,SR1808,2023-09-13,826.0
T0387,P004,SR654,2023-08-16,1265.21
T0388,P004,SR2066,2023-09-11,1727.26
T0389,P002,SR2402,2023-08-23,766.11
T0390,P002,SR1893,2023-08-19,775.58
T0391,P003,SR2291,2023-09-12,1972.64
T0392,P004,SR1516,2023-09-10,1805.32
T0393,P001,SR267,2023-09-11,594.93
T0394,P002,SR405,2023-09-08,1442.39
T0395,P004,SR1523,2023-09-08,1227.29
T0396,P003,SR1324,2023-09-13,1498.71
T0397,P004,SR2420,2023-08-16,1719.87
T0398,P003,SR472,2023-08-20,1786.8
T0399,P001,SR2079,2023-08-30,1189.14
T0400,P004,SR1139,2023-08-22,1504.09
T0401,P001,SR701,2023-08-26,1322.31
T0402,P004,SR2616,2023-09-10,379.99
T0403,P003,SR1444,2023-09-07,1167.61
T0404,P001,SR1845,2023-09-13,1031.19
T0405,P003,SR1269,2023-08-21,791.78
T0406,P001,SR1913,2023-08-29,798.57
T0407,P001,SR1198,2023-08-27,363.29
T0408,P003,SR1040,2023-09-11,1910.17
T0409,P002,SR551,2023-09-14,936.44
T0410,P003,SR1143,2023-08-22,379.4
T0411,P001,SR296,2023-08-31,1509.94
T0412,P001,SR196,2023-09-13,1662.57
T0413,P002,SR2659,2023-08-17,1047.81
T0414,P001,SR378,2023-09-10,1169.24
T0415,P004,SR379,2023-08-23,1689.25
T0416,P004,SR2467,2023-09-02,1665.46
T0417,P004,SR429,2023-08-20,1487.48
T0418,P004,SR1415,2023-09-12,433.86
T0419,P001,SR2702,2023-08-17,816.9
T0420,P004,SR1944,2023-09-11,479.5
T0421,P003,SR237,2023-09-14,1054.52
T0422,P002,SR2426,2023-08-26,513.15
T0423,P003,SR1164,2023-08-29,1026.96
T0424,P004,SR1255,2023-08-17,164.07
T0425,P004,SR2509,2023-08-20,1883.02
T0426,P003,SR1782,2023-09-13,1788.73
T0427,P001,SR1366,2023-09-11,1396.99
T0428,P001,SR004,2023-09-13,1601.8
T0429,P003,SR2542,2023-09-04,535.67
T0430,P003,SR012,2023-08-16,910.76
T0431,P001,SR251,2023-09-01,920.54
T0432,P001,SR949,2023-09-08,303.46
T0433,P001,SR2276,2023-09-12,1425.08
T0434,P002,SR401,2023-08-21,820.89
T0435,P004,SR445,2023-08-28,1277.35
T0436,P004,SR034,2023-09-11,1510.78
T0437,P002,SR2419,2023-08-26,249.83
T0438,P002,SR2435,2023-09-07,760.54
T0439,P002,SR2674,2023-09-01,555.89
T0440,P003,SR2688,2023-08-29,1016.07
T0441,P002,SR879,2023-08-22,1867.8
T0442,P003,SR1974,2023-08-28,1392.16
T0443,P001,SR2496,2023-08-28,671.84
T0444,P003,SR2662,2023-09-01,817.38
T0445,P004,SR253,2023-08-19,218.35
T0446,P002,SR307,2023-09-01,647.35
T0447,P002,SR1141,2023-09-12,1337.89
T0448,P002,SR1546,2023-09-10,485.5
T0449,P001,SR2115,2023-08-26,1383.22
T0450,P001,SR1885,2023-09-13,1313.42
T0451,P003,SR1295,2023-08-25,1287.45
T0452,P004,SR528,2023-09-04,522.76
T0453,P004,SR582,2023-09-11,817.03
T0454,P003,SR648,2023-09-04,456.66
T0455,P004,SR1013,2023-08-19,892.7
T0456,P002,SR2090,2023-08-27,900.68
T0457,P002,SR460,2023-09-02,933.43
T0458,P003,SR681,2023-08-17,1256.6
T0459,P002,SR708,2023-08-20,1985.65
T0460,P001,SR2164,2023-09-02,1625.59
T0461,P003,SR1552,2023-08-22,494.53
T0462,P001,SR848,2023-08-30,1387.55
T0463,P001,SR013,2023-09-09,494.05
T0464,P001,SR1462,2023-09-01,193.64
T0465,P001,SR979,2023-09-02,1678.5
T0466,P003,SR1165,2023-08-22,1041.47
T0467,P004,SR563,2023-08-30,434.32
T0468,P001,SR1409,2023-09-12,1282.12
T0469,P001,SR2187,2023-08-30,1363.06
T0470,P003,SR1595,2023-09-06,1377.61
T0471,P001,SR172,2023-08-19,1032.33
T0472,P002,SR253,2023-09-07,463.91
T0473,P002,SR2007,2023-09-08,1726.54
T0474,P003,SR2093,2023-08-18,713.11
T0475,P003,SR1612,2023-08-29,906.93
T0476,P001,SR223,2023-08-20,1289.3
T0477,P004,SR885,2023-08-16,1121.44
T0478,P002,SR2498,2023-09-03,1678.59
T0479,P004,SR1186,2023-08-16,1796.94
T0480,P003,SR2347,2023-08-26,1882.03
T0481,P003,SR2820,2023-08-20,893.44
T0482,P001,SR2241,2023-08-25,920.31
T0483,P002,SR2670,2023-09-15,1029.99
T0484,P001,SR2645,2023-08-23,1968.81
T0485,P002,SR603,2023-09-03,587.33
T0486,P002,SR2327,2023-09-09,683.29
T0487,P003,SR2084,2023-09-13,1183.72
T0488,P002,SR883,2023-09-10,527.06
T0489,P001,SR2043,2023-08-31,783.31
T0490,P003,SR1313,2023-09-01,1070.59
T0491,P003,SR1477,2023-08-28,825.6
T0492,P003,SR520,2023-09-06,509.63
T0493,P004,SR362,2023-09-04,811.09
T0494,P001,SR2043,2023-08-23,1442.51
T0495,P003,SR1211,2023-09-08,1684.04
T0496,P001,SR421,2023-08-26,1888.27
T0497,P001,SR1983,2023-09-07,142.19
T0498,P003,SR2548,2023-08-29,1926.64
T0499,P001,SR760,2023-08-19,365.29
T0500,P003,SR2810,2023-08-21,593.31
T0501,P001,SR2482,2023-08-16,1941.27
T0502,P001,SR1758,2023-08-21,1322.31
T0503,P004,SR356,2023-08-31,139.77
T0504,P003,SR1228,2023-08-16,685.5
T0505,P004,SR2965,2023-09-05,845.97
T0506,P003,SR2292,2023-08-24,1241.5
T0507,P002,SR2435,2023-09-15,343.85
T0508,P002,SR144,2023-09-14,712.99
T0509,P001,SR2605,2023-08-19,420.32
T0510,P004,SR2710,2023-09-10,855.32
T0511,P003,SR548,2023-08-30,890.15
T0512,P003,SR900,2023-09-13,1190.48
T0513,P002,SR2328,2023-08-18,1654.48
T0514,P002,SR840,2023-08-19,129.34
T0515,P001,SR143,2023-09-15,1171.01
T0516,P002,SR1854,2023-08-26,556.41
T0517,P004,SR2788,2023-09-06,297.75
T0518,P004,SR2311,2023-08-18,1553.97
T0519,P002,SR2703,2023-08-28,1966.45
T0520,P004,SR1294,2023-09-14,1183.85
T0521,P003,SR2647,2023-08-21,593.53
T0522,P003,SR2574,2023-08-30,1532.14
T0523,P004,SR872,2023-09-13,427.5
T0524,P004,SR1157,2023-08-17,1468.33
T0525,P002,SR1008,2023-08-26,1586.23
T0526,P001,SR660,2023-09-10,125.99
T0527,P004,SR2706,2023-09-12,1889.33
T0528,P001,SR1320,2023-08-23,1181.13
T0529,P002,SR1812,2023-09-06,1517.03
T0530,P003,SR1423,2023-09-08,197.84
T0531,P003,SR929,2023-08-21,174.2
T0532,P004,SR974,2023-08-28,914.55
T0533,P003,SR2908,2023-08-24,362.24
T0534,P001,SR1572,2023-08-24,1930.86
T0535,P004,SR004,2023-08-20,777.11
T0536,P002,SR531,2023-08-31,571.8
T0537,P003,SR469,2023-08-29,890.97
T0538,P002,SR1082,2023-09-04,1645.45
T0539,P004,SR2520,2023-08-25,1987.71
T0540,P004,SR1933,2023-08-24,1825.06
T0541,P002,SR848,2023-09-13,1022.98
T0542,P004,SR151,2023-09-14,1578.27
T0543,P003,SR2937,2023-09-06,704.71
T0544,P003,SR1562,2023-08-21,1576.72
T0545,P004,SR2998,2023-08-21,108.83
T0546,P001,SR2434,2023-09-11,1768.93
T0547,P002,SR2814,2023-09-04,1166.84
T0548,P002,SR1908,2023-09-05,1306.52
T0549,P004,SR1855,2023-08-25,373.15
T0550,P004,SR1311,2023-08-29,1807.06
T0551,P002,SR775,2023-08-26,1889.2
T0552,P004,SR2298,2023-09-03,486.1
T0553,P003,SR2745,2023-09-08,204.05
T0554,P003,SR2991,2023-08-23,817.84
T0555,P001,SR547,2023-08-30,1427.34
T0556,P003,SR2551,2023-08-20,1763.62
T0557,P003,SR139,2023-08-20,535.36
T0558,P002,SR532,2023-09-05,1788.46
T0559,P001,SR606,2023-09-12,113.22
T0560,P004,SR143,2023-08-21,1452.82
T0561,P001,SR2809,2023-08-19,1483.48
T0562,P003,SR2368,2023-09-04,1475.68
T0563,P002,SR1102,2023-09-10,1683.37
T0564,P003,SR1708,2023-09-10,1094.57
T0565,P003,SR1415,2023-08-29,1521.15
T0566,P003,SR038,2023-09-03,1903.92
T0567,P001,SR1792,2023-08-17,1936.03
T0568,P002,SR2373,2023-09-15,1150.88
T0569,P004,SR1590,2023-08-26,1849.46
T0570,P003,SR2939,2023-08-21,542.97
T0571,P004,SR2157,2023-09-08,1204.91
T0572,P002,SR1089,2023-08-22,606.35
T0573,P001,SR1641,2023-08-28,1423.85
T0574,P003,SR2120,2023-09-02,1828.49
T0575,P003,SR2696,2023-08-31,1130.89
T0576,P002,SR1696,2023-08-26,1202.9
T0577,P001,SR1954,2023-08-24,1498.91
T0578,P001,SR1932,2023-08-25,1434.4
T0579,P004,SR266,2023-09-05,1102.53
T0580,P001,SR521,2023-09-01,1368.23
T0581,P002,SR2594,2023-08-28,1954.62
T0582,P001,SR2564,2023-09-04,1445.51
T0583,P004,SR2542,2023-08-16,1584.69
T0584,P001,SR1149,2023-09-11,117.79
T0585,P002,SR1511,2023-09-10,410.09
T0586,P004,SR355,2023-08-23,1688.46
T0587,P004,SR2175,2023-09-15,1830.98
T0588,P003,SR129,2023-09-04,1561.46
T0589,P004,SR2152,2023-08-31,327.05
T0590,P003,SR595,2023-09-11,943.41
T0591,P001,SR1672,2023-08-25,298.05
T0592,P002,SR1372,2023-09-14,623.21
T0593,P002,SR395,2023-08-27,1812.25
T0594,P003,SR802,2023-09-03,1817.07
T0595,P002,SR2724,2023-09-09,701.47
T0596,P004,SR1847,2023-08-21,1945.2
T0597,P002,SR1984,2023-09-12,900.75
T0598,P003,SR2235,2023-08-30,1941.23
T0599,P003,SR300,2023-08-19,382.34
T0600,P001,SR161,2023-08-23,1525.12
T0601,P002,SR912,2023-09-15,226.59
