rep_id,rep_name,team,region,start_date,end_date
SR082,Name 82,Team A,East,2023-02-22,2023-09-01
SR083,Name 83,Team B,East,2023-01-11,2023-09-01
SR084,Name 84,Team C,West,2023-02-19,
SR085,Name 85,Team D,East,2023-03-01,
SR086,Name 86,Team B,West,2023-01-07,
SR087,Name 87,Team C,,2023-04-08,
SR088,Name 88,Team B,West,2023-02-26,2023-09-01
SR089,Name 89,Team A,East,2023-02-23,
SR090,Name 90,Team A,North,2023-01-19,
SR091,Name 91,Team B,West,2023-01-25,2023-09-01
SR092,Name 92,Team B,North,2023-02-28,2023-09-01
SR093,Name 93,Team A,East,2023-03-12,
SR094,Name 94,Team C,North,2023-01-17,
SR095,Name 95,Team A,North,2023-03-15,2023-09-01
SR096,Name 96,Team B,South,2023-01-15,
SR097,Name 97,Team B,West,2023-02-16,
SR098,Name 98,Team B,South,2023-03-24,
SR099,Name 99,Team A,North,2023-01-31,
SR100,Name 100,Team A,South,2023-03-25,2023-09-01
SR101,Name 101,Team B,South,2023-01-07,2023-09-01
SR102,Name 102,Team C,,2023-02-23,
SR103,Name 103,Team D,,2023-02-16,
SR104,Name 104,Team C,South,2023-04-09,
SR105,Name 105,Team A,South,2023-01-20,
SR106,Name 106,Team B,South,2023-03-11,2023-09-01
SR107,Name 107,Team B,East,2023-04-10,
SR108,Name 108,Team C,East,2023-01-04,
SR109,Name 109,Team B,North,2023-02-04,
SR110,Name 110,Team A,South,2023-02-02,2023-09-01
SR111,Name 111,Team A,East,2023-01-03,
SR112,Name 112,Team C,North,2023-03-23,
SR113,Name 113,Team A,,2023-03-28,2023-09-01
SR114,Name 114,Team D,East,2023-01-27,2023-09-01
SR115,Name 115,Team C,East,2023-02-26,
SR116,Name 116,Team D,,2023-03-24,
SR117,Name 117,Team D,South,2023-01-24,2023-09-01
SR118,Name 118,Team A,East,2023-03-07,2023-09-01
SR119,Name 119,Team D,East,2023-03-16,2023-09-01
SR120,Name 120,Team A,,2023-02-06,
SR121,Name 121,Team B,South,2023-03-18,
SR122,Name 122,Team B,North,2023-03-10,2023-09-01
SR123,Name 123,Team B,South,2023-02-06,
SR124,Name 124,Team B,West,2023-01-25,
SR125,Name 125,Team B,West,2023-04-03,2023-09-01
SR126,Name 126,Team A,South,2023-01-17,2023-09-01
SR127,Name 127,Team D,East,2023-04-04,
SR128,Name 128,Team C,North,2023-04-10,
SR129,Name 129,Team A,East,2023-03-09,2023-09-01
SR130,Name 130,Team A,North,2023-01-06,2023-09-01
SR131,Name 131,Team A,North,2023-02-23,2023-09-01
SR132,Name 132,Team C,South,2023-03-17,2023-09-01
SR133,Name 133,Team C,East,2023-02-23,2023-09-01
SR134,Name 134,Team B,North,2023-02-20,2023-09-01
SR135,Name 135,Team C,,2023-02-03,
SR136,Name 136,Team C,West,2023-02-01,
SR137,Name 137,Team B,,2023-01-18,
SR138,Name 138,Team C,,2023-01-22,
SR139,Name 139,Team C,East,2023-03-25,
SR140,Name 140,Team A,West,2023-02-15,
SR141,Name 141,Team C,East,2023-03-11,
SR142,Name 142,Team B,West,2023-03-12,2023-09-01
SR143,Name 143,Team C,East,2023-04-06,2023-09-01
SR144,Name 144,Team B,,2023-03-16,2023-09-01
SR145,Name 145,Team D,South,2023-01-24,
SR146,Name 146,Team D,West,2023-01-26,2023-09-01
SR147,Name 147,Team A,South,2023-02-14,
SR148,Name 148,Team D,West,2023-02-09,2023-09-01
SR149,Name 149,Team D,South,2023-02-21,
SR150,Name 150,Team D,North,2023-01-02,
SR151,Name 151,Team D,,2023-01-14,
SR152,Name 152,Team A,North,2023-02-26,2023-09-01
SR153,Name 153,Team A,South,2023-01-30,2023-09-01
SR154,Name 154,Team A,East,2023-02-01,2023-09-01
SR155,Name 155,Team C,North,2023-02-18,
SR156,Name 156,Team C,West,2023-02-07,
SR157,Name 157,Team D,,2023-03-02,2023-09-01
SR158,Name 158,Team D,South,2023-01-05,
SR159,Name 159,Team D,North,2023-02-10,
SR160,Name 160,Team A,East,2023-01-20,
SR161,Name 161,Team C,East,2023-01-08,
SR162,Name 162,Team D,West,2023-01-19,2023-09-01
SR163,Name 163,Team B,South,2023-04-09,2023-09-01
SR164,Name 164,Team A,South,2023-01-22,2023-09-01
SR165,Name 165,Team A,South,2023-01-21,
SR166,Name 166,Team B,,2023-02-08,2023-09-01
SR167,Name 167,Team C,East,2023-01-15,
SR168,Name 168,Team D,,2023-02-01,
SR169,Name 169,Team A,South,2023-01-27,2023-09-01
SR170,Name 170,Team C,North,2023-01-06,2023-09-01
SR171,Name 171,Team D,,2023-03-13,2023-09-01
SR172,Name 172,Team A,East,2023-04-04,
SR173,Name 173,Team B,,2023-01-22,2023-09-01
SR174,Name 174,Team D,East,2023-03-25,2023-09-01
SR175,Name 175,Team B,East,2023-01-22,2023-09-01
SR176,Name 176,Team D,West,2023-03-23,2023-09-01
SR177,Name 177,Team B,East,2023-01-05,2023-09-01
SR178,Name 178,Team A,South,2023-02-27,2023-09-01
SR179,Name 179,Team D,South,2023-03-09,2023-09-01
SR180,Name 180,Team D,,2023-04-02,2023-09-01
SR181,Name 181,Team B,East,2023-01-01,2023-09-01
SR182,Name 182,Team B,West,2023-03-19,2023-09-01
SR183,Name 183,Team D,South,2023-02-22,2023-09-01
SR184,Name 184,Team C,East,2023-02-24,2023-09-01
SR185,Name 185,Team C,East,2023-01-01,2023-09-01
SR186,Name 186,Team C,,2023-03-09,2023-09-01
SR187,Name 187,Team C,West,2023-01-29,
SR188,Name 188,Team A,East,2023-01-10,2023-09-01
SR189,Name 189,Team C,,2023-01-18,
SR190,Name 190,Team A,,2023-04-07,2023-09-01
SR191,Name 191,Team A,East,2023-01-11,2023-09-01
SR192,Name 192,Team B,South,2023-04-08,2023-09-01
SR193,Name 193,Team B,,2023-03-13,2023-09-01
SR194,Name 194,Team A,South,2023-03-20,
SR195,Name 195,Team C,,2023-03-02,
SR196,Name 196,Team B,South,2023-03-02,2023-09-01
SR197,Name 197,Team D,South,2023-03-20,
SR198,Name 198,Team B,,2023-03-10,
SR199,Name 199,Team B,,2023-02-19,2023-09-01
SR200,Name 200,Team C,East,2023-01-19,2023-09-01
SR201,Name 201,Team C,West,2023-02-09,
SR202,Name 202,Team A,,2023-02-21,2023-09-01
SR203,Name 203,Team C,,2023-02-27,
SR204,Name 204,Team A,East,2023-03-15,2023-09-01
SR205,Name 205,Team B,,2023-02-17,2023-09-01
SR206,Name 206,Team B,East,2023-01-19,
SR207,Name 207,Team D,West,2023-03-18,
SR208,Name 208,Team C,North,2023-01-11,2023-09-01
SR209,Name 209,Team D,West,2023-01-31,2023-09-01
SR210,Name 210,Team D,West,2023-03-09,
SR211,Name 211,Team C,West,2023-03-18,2023-09-01
SR212,Name 212,Team C,South,2023-03-28,2023-09-01
SR213,Name 213,Team C,North,2023-03-28,2023-09-01
SR214,Name 214,Team D,East,2023-01-31,
SR215,Name 215,Team B,East,2023-02-26,2023-09-01
SR216,Name 216,Team C,South,2023-04-04,2023-09-01
SR217,Name 217,Team C,,2023-02-08,2023-09-01
SR218,Name 218,Team C,South,2023-01-17,
SR219,Name 219,Team B,West,2023-03-17,2023-09-01
SR220,Name 220,Team D,West,2023-01-23,2023-09-01
SR221,Name 221,Team B,West,2023-03-08,2023-09-01
SR222,Name 222,Team A,,2023-04-06,2023-09-01
SR223,Name 223,Team C,East,2023-03-22,2023-09-01
SR224,Name 224,Team A,South,2023-03-29,2023-09-01
SR225,Name 225,Team B,North,2023-01-18,2023-09-01
SR226,Name 226,Team D,East,2023-02-28,2023-09-01
SR227,Name 227,Team A,West,2023-02-25,2023-09-01
SR228,Name 228,Team D,West,2023-03-19,
SR229,Name 229,Team D,East,2023-03-15,
SR230,Name 230,Team B,East,2023-04-08,2023-09-01
SR231,Name 231,Team C,,2023-03-04,
SR232,Name 232,Team C,North,2023-02-09,
SR233,Name 233,Team A,West,2023-03-12,
SR234,Name 234,Team A,,2023-02-09,
SR235,Name 235,Team D,West,2023-04-10,2023-09-01
SR236,Name 236,Team D,North,2023-01-15,2023-09-01
SR237,Name 237,Team C,East,2023-02-05,2023-09-01
SR238,Name 238,Team D,South,2023-04-07,
SR239,Name 239,Team C,,2023-02-16,
SR240,Name 240,Team B,West,2023-01-06,
SR241,Name 241,Team A,East,2023-02-15,2023-09-01
SR242,Name 242,Team D,East,2023-04-09,2023-09-01
SR243,Name 243,Team D,North,2023-03-03,2023-09-01
SR244,Name 244,Team C,West,2023-01-12,2023-09-01
SR245,Name 245,Team D,West,2023-01-31,
SR246,Name 246,Team B,East,2023-04-01,2023-09-01
SR247,Name 247,Team B,South,2023-03-17,
SR248,Name 248,Team C,,2023-04-10,2023-09-01
SR249,Name 249,Team D,South,2023-02-19,
SR250,Name 250,Team C,West,2023-03-08,
SR251,Name 251,Team D,West,2023-01-20,2023-09-01
SR252,Name 252,Team B,East,2023-03-31,2023-09-01
SR253,Name 253,Team D,,2023-04-09,
SR254,Name 254,Team A,,2023-02-25,
SR255,Name 255,Team C,,2023-04-03,2023-09-01
SR256,Name 256,Team D,West,2023-01-28,2023-09-01
SR257,Name 257,Team C,West,2023-02-04,2023-09-01
SR258,Name 258,Team B,North,2023-03-05,
SR259,Name 259,Team C,North,2023-01-14,2023-09-01
SR260,Name 260,Team A,South,2023-04-07,
SR261,Name 261,Team D,East,2023-01-27,2023-09-01
SR262,Name 262,Team A,West,2023-01-21,
SR263,Name 263,Team C,,2023-01-08,
SR264,Name 264,Team D,West,2023-02-18,2023-09-01
SR265,Name 265,Team A,East,2023-03-25,2023-09-01
SR266,Name 266,Team A,East,2023-02-19,
SR267,Name 267,Team D,West,2023-01-02,
SR268,Name 268,Team C,,2023-02-04,2023-09-01
SR269,Name 269,Team A,West,2023-04-09,
SR270,Name 270,Team D,East,2023-01-13,2023-09-01
SR271,Name 271,Team C,,2023-01-12,2023-09-01
SR272,Name 272,Team C,West,2023-03-31,2023-09-01
SR273,Name 273,Team C,South,2023-03-12,
SR274,Name 274,Team D,North,2023-02-21,
SR275,Name 275,Team C,South,2023-04-11,2023-09-01
SR276,Name 276,Team A,North,2023-01-22,
SR277,Name 277,Team C,South,2023-01-14,2023-09-01
SR278,Name 278,Team B,South,2023-01-23,
SR279,Name 279,Team D,,2023-01-01,2023-09-01
SR280,Name 280,Team C,North,2023-01-15,
SR281,Name 281,Team D,,2023-04-05,2023-09-01
SR282,Name 282,Team B,South,2023-01-17,2023-09-01
SR283,Name 283,Team C,,2023-01-31,
SR284,Name 284,Team D,North,2023-03-23,2023-09-01
SR285,Name 285,Team A,,2023-02-06,2023-09-01
SR286,Name 286,Team B,,2023-02-14,
SR287,Name 287,Team D,South,2023-02-20,
SR288,Name 288,Team B,West,2023-04-01,2023-09-01
SR289,Name 289,Team C,North,2023-02-18,
SR290,Name 290,Team C,East,2023-01-18,
SR291,Name 291,Team B,East,2023-02-01,2023-09-01
SR292,Name 292,Team A,South,2023-03-10,
SR293,Name 293,Team B,West,2023-02-09,2023-09-01
SR294,Name 294,Team D,West,2023-03-16,
SR295,Name 295,Team C,East,2023-01-24,2023-09-01
SR296,Name 296,Team A,East,2023-02-28,2023-09-01
SR297,Name 297,Team A,North,2023-03-31,
SR298,Name 298,Team B,West,2023-01-29,2023-09-01
SR299,Name 299,Team C,South,2023-03-05,2023-09-01
SR300,Name 300,Team B,West,2023-03-30,
SR301,Name 301,Team D,West,2023-02-07,2023-09-01
SR302,Name 302,Team C,East,2023-02-25,
SR303,Name 303,Team D,,2023-01-20,2023-09-01
SR304,Name 304,Team A,South,2023-03-02,
SR305,Name 305,Team B,,2023-01-31,
SR306,Name 306,Team D,West,2023-03-31,2023-09-01
SR307,Name 307,Team C,West,2023-03-31,2023-09-01
SR308,Name 308,Team D,East,2023-03-01,
SR309,Name 309,Team B,South,2023-03-19,
SR310,Name 310,Team C,West,2023-04-08,2023-09-01
SR311,Name 311,Team A,East,2023-04-09,2023-09-01
SR312,Name 312,Team B,South,2023-01-19,2023-09-01
SR313,Name 313,Team A,,2023-02-05,
SR314,Name 314,Team B,West,2023-01-31,2023-09-01
SR315,Name 315,Team A,East,2023-02-28,
SR316,Name 316,Team C,,2023-01-01,2023-09-01
SR317,Name 317,Team B,North,2023-03-25,
SR318,Name 318,Team D,South,2023-03-21,
SR319,Name 319,Team B,North,2023-02-14,
SR320,Name 320,Team D,South,2023-01-17,2023-09-01
SR321,Name 321,Team B,,2023-01-17,2023-09-01
SR322,Name 322,Team B,West,2023-04-01,2023-09-01
SR323,Name 323,Team D,South,2023-02-13,2023-09-01
SR324,Name 324,Team D,North,2023-01-15,
SR325,Name 325,Team D,East,2023-02-25,2023-09-01
SR326,Name 326,Team B,,2023-04-10,2023-09-01
SR327,Name 327,Team C,,2023-03-09,
SR328,Name 328,Team D,South,2023-01-31,
SR329,Name 329,Team C,West,2023-01-28,
SR330,Name 330,Team A,East,2023-03-10,
SR331,Name 331,Team D,East,2023-01-10,2023-09-01
SR332,Name 332,Team C,West,2023-01-04,
SR333,Name 333,Team B,East,2023-03-29,2023-09-01
SR334,Name 334,Team B,East,2023-01-22,
SR335,Name 335,Team C,,2023-03-13,
SR336,Name 336,Team A,North,2023-03-12,
SR337,Name 337,Team D,West,2023-02-10,2023-09-01
SR338,Name 338,Team D,West,2023-01-09,
SR339,Name 339,Team D,West,2023-03-07,
SR340,Name 340,Team A,South,2023-03-25,2023-09-01
SR341,Name 341,Team A,South,2023-02-12,
SR342,Name 342,Team C,East,2023-03-20,2023-09-01
SR343,Name 343,Team B,West,2023-02-14,2023-09-01
SR344,Name 344,Team D,East,2023-03-07,2023-09-01
SR345,Name 345,Team D,North,2023-03-09,2023-09-01
SR346,Name 346,Team A,,2023-03-04,2023-09-01
SR347,Name 347,Team D,West,2023-03-28,
SR348,Name 348,Team A,East,2023-01-26,
SR349,Name 349,Team D,North,2023-02-27,2023-09-01
SR350,Name 350,Team A,,2023-03-21,2023-09-01
SR351,Name 351,Team B,East,2023-01-06,
SR352,Name 352,Team B,East,2023-01-27,
SR353,Name 353,Team C,,2023-03-12,
SR354,Name 354,Team D,South,2023-03-05,2023-09-01
SR355,Name 355,Team D,East,2023-01-29,2023-09-01
SR356,Name 356,Team D,South,2023-01-06,
SR357,Name 357,Team C,,2023-02-01,2023-09-01
SR358,Name 358,Team A,,2023-04-08,2023-09-01
SR359,Name 359,Team C,South,2023-01-25,2023-09-01
SR360,Name 360,Team D,West,2023-02-03,
SR361,Name 361,Team D,North,2023-02-05,
SR362,Name 362,Team A,North,2023-02-22,2023-09-01
SR363,Name 363,Team D,East,2023-02-08,
SR364,Name 364,Team B,East,2023-04-02,2023-09-01
SR365,Name 365,Team A,North,2023-04-01,2023-09-01
SR366,Name 366,Team A,North,2023-01-27,
SR367,Name 367,Team C,North,2023-01-19,
SR368,Name 368,Team A,North,2023-03-26,2023-09-01
SR369,Name 369,Team D,West,2023-03-24,
SR370,Name 370,Team D,,2023-03-09,2023-09-01
SR371,Name 371,Team D,South,2023-02-14,
SR372,Name 372,Team A,North,2023-03-07,
SR373,Name 373,Team C,East,2023-02-28,2023-09-01
SR374,Name 374,Team C,West,2023-01-06,2023-09-01
SR375,Name 375,Team D,North,2023-02-16,2023-09-01
SR376,Name 376,Team A,,2023-01-31,2023-09-01
SR377,Name 377,Team B,,2023-03-10,
SR378,Name 378,Team D,South,2023-01-13,
SR379,Name 379,Team C,West,2023-03-01,2023-09-01
SR380,Name 380,Team B,West,2023-01-08,
SR381,Name 381,Team B,South,2023-03-29,
SR382,Name 382,Team C,South,2023-01-15,2023-09-01
SR383,Name 383,Team D,West,2023-04-07,
SR384,Name 384,Team C,North,2023-03-05,2023-09-01
SR385,Name 385,Team D,,2023-01-02,2023-09-01
SR386,Name 386,Team B,East,2023-03-03,
SR387,Name 387,Team B,South,2023-01-21,2023-09-01
SR388,Name 388,Team B,West,2023-04-04,
SR389,Name 389,Team B,North,2023-02-27,2023-09-01
SR390,Name 390,Team A,West,2023-03-19,
SR391,Name 391,Team D,South,2023-03-24,2023-09-01
SR392,Name 392,Team D,West,2023-02-24,2023-09-01
SR393,Name 393,Team C,East,2023-01-12,
SR394,Name 394,Team B,West,2023-04-03,2023-09-01
SR395,Name 395,Team D,South,2023-03-20,
SR396,Name 396,Team B,East,2023-02-07,2023-09-01
SR397,Name 397,Team B,South,2023-04-07,
SR398,Name 398,Team D,,2023-03-25,
SR399,Name 399,Team C,West,2023-02-11,
SR400,Name 400,Team C,West,2023-03-15,2023-09-01
SR401,Name 401,Team A,,2023-01-15,
SR402,Name 402,Team C,West,2023-03-07,
SR403,Name 403,Team D,North,2023-02-17,2023-09-01
SR404,Name 404,Team A,East,2023-01-29,
SR405,Name 405,Team B,,2023-03-06,
SR406,Name 406,Team C,West,2023-03-17,2023-09-01
SR407,Name 407,Team C,South,2023-03-10,2023-09-01
SR408,Name 408,Team C,North,2023-01-09,
SR409,Name 409,Team A,,2023-02-27,2023-09-01
SR410,Name 410,Team C,South,2023-03-26,
SR411,Name 411,Team D,South,2023-02-13,
SR412,Name 412,Team B,West,2023-02-02,
SR413,Name 413,Team D,East,2023-03-08,2023-09-01
SR414,Name 414,Team A,,2023-04-11,
SR415,Name 415,Team D,South,2023-04-03,2023-09-01
SR416,Name 416,Team B,West,2023-03-04,
SR417,Name 417,Team C,West,2023-02-25,2023-09-01
SR418,Name 418,Team B,,2023-03-15,
SR419,Name 419,Team C,West,2023-03-24,
SR420,Name 420,Team D,,2023-01-17,
SR421,Name 421,Team D,East,2023-02-24,
SR422,Name 422,Team A,South,2023-02-11,
SR423,Name 423,Team A,West,2023-01-26,2023-09-01
SR424,Name 424,Team C,,2023-03-04,2023-09-01
SR425,Name 425,Team C,West,2023-01-24,
SR426,Name 426,Team B,North,2023-02-23,
SR427,Name 427,Team B,North,2023-01-21,2023-09-01
SR428,Name 428,Team B,East,2023-01-26,2023-09-01
SR429,Name 429,Team A,South,2023-01-01,
SR430,Name 430,Team B,North,2023-04-08,
SR431,Name 431,Team B,North,2023-01-15,
SR432,Name 432,Team A,West,2023-02-19,
SR433,Name 433,Team B,West,2023-02-13,
SR434,Name 434,Team C,North,2023-01-18,
SR435,Name 435,Team C,East,2023-03-07,2023-09-01
SR436,Name 436,Team D,,2023-04-09,2023-09-01
SR437,Name 437,Team B,East,2023-01-31,2023-09-01
SR438,Name 438,Team A,North,2023-02-23,
SR439,Name 439,Team A,West,2023-01-31,2023-09-01
SR440,Name 440,Team A,West,2023-01-15,
SR441,Name 441,Team A,,2023-03-12,2023-09-01
SR442,Name 442,Team C,North,2023-01-09,
SR443,Name 443,Team C,East,2023-01-05,2023-09-01
SR444,Name 444,Team D,East,2023-01-20,2023-09-01
SR445,Name 445,Team B,South,2023-04-09,
SR446,Name 446,Team B,South,2023-01-23,
SR447,Name 447,Team D,South,2023-03-23,2023-09-01
SR448,Name 448,Team B,North,2023-03-15,2023-09-01
SR449,Name 449,Team B,,2023-01-28,
SR450,Name 450,Team A,East,2023-04-01,2023-09-01
SR451,Name 451,Team B,South,2023-03-22,2023-09-01
SR452,Name 452,Team C,South,2023-01-29,
SR453,Name 453,Team C,North,2023-02-02,2023-09-01
SR454,Name 454,Team D,East,2023-03-24,
SR455,Name 455,Team B,,2023-02-24,
SR456,Name 456,Team A,North,2023-01-19,2023-09-01
SR457,Name 457,Team D,West,2023-03-31,2023-09-01
SR458,Name 458,Team D,North,2023-01-23,2023-09-01
SR459,Name 459,Team B,South,2023-02-07,
SR460,Name 460,Team A,South,2023-02-23,
SR461,Name 461,Team B,South,2023-02-05,
SR462,Name 462,Team B,West,2023-01-28,2023-09-01
SR463,Name 463,Team A,East,2023-02-26,2023-09-01
SR464,Name 464,Team B,South,2023-02-20,
SR465,Name 465,Team B,North,2023-01-24,
SR466,Name 466,Team D,East,2023-04-01,2023-09-01
SR467,Name 467,Team C,,2023-04-11,2023-09-01
SR468,Name 468,Team A,South,2023-01-23,
SR469,Name 469,Team B,West,2023-01-29,2023-09-01
SR470,Name 470,Team A,,2023-03-10,2023-09-01
SR471,Name 471,Team A,South,2023-01-13,2023-09-01
SR472,Name 472,Team A,West,2023-04-05,2023-09-01
SR473,Name 473,Team B,,2023-01-06,
SR474,Name 474,Team B,North,2023-03-02,2023-09-01
SR475,Name 475,Team A,South,2023-03-31,
SR476,Name 476,Team D,North,2023-02-24,
SR477,Name 477,Team B,South,2023-04-10,2023-09-01
SR478,Name 478,Team A,East,2023-03-03,2023-09-01
SR479,Name 479,Team B,South,2023-02-20,2023-09-01
SR480,Name 480,Team B,North,2023-03-25,
SR481,Name 481,Team B,South,2023-01-13,2023-09-01
SR482,Name 482,Team B,East,2023-01-31,
SR483,Name 483,Team C,South,2023-04-03,
SR484,Name 484,Team D,North,2023-02-24,
SR485,Name 485,Team B,South,2023-03-03,
SR486,Name 486,Team B,,2023-02-20,
SR487,Name 487,Team A,North,2023-03-08,
SR488,Name 488,Team A,,2023-03-10,
SR489,Name 489,Team B,North,2023-03-30,
SR490,Name 490,Team C,North,2023-01-14,
SR491,Name 491,Team A,,2023-03-05,
SR492,Name 492,Team D,North,2023-03-20,
SR493,Name 493,Team A,South,2023-01-23,2023-09-01
SR494,Name 494,Team D,,2023-04-05,2023-09-01
SR495,Name 495,Team D,East,2023-03-31,
SR496,Name 496,Team B,East,2023-03-22,2023-09-01
SR497,Name 497,Team B,North,2023-01-25,2023-09-01
SR498,Name 498,Team B,North,2023-02-13,2023-09-01
SR499,Name 499,Team C,South,2023-04-03,
SR500,Name 500,Team C,North,2023-01-09,
SR501,Name 501,Team A,North,2023-01-29,
SR502,Name 502,Team D,,2023-04-11,
SR503,Name 503,Team B,East,2023-01-04,2023-09-01
SR504,Name 504,Team C,South,2023-03-06,2023-09-01
SR505,Name 505,Team C,West,2023-02-04,
SR506,Name 506,Team C,East,2023-04-09,2023-09-01
SR507,Name 507,Team C,South,2023-03-13,2023-09-01
SR508,Name 508,Team B,,2023-03-09,
SR509,Name 509,Team C,North,2023-01-26,2023-09-01
SR510,Name 510,Team A,West,2023-01-10,2023-09-01
SR511,Name 511,Team B,West,2023-02-23,
SR512,Name 512,Team C,South,2023-01-22,
SR513,Name 513,Team C,South,2023-02-24,2023-09-01
SR514,Name 514,Team D,,2023-02-08,
SR515,Name 515,Team C,,2023-02-10,2023-09-01
SR516,Name 516,Team B,East,2023-01-07,2023-09-01
SR517,Name 517,Team B,,2023-04-08,2023-09-01
SR518,Name 518,Team D,,2023-02-10,2023-09-01
SR519,Name 519,Team A,North,2023-02-22,2023-09-01
SR520,Name 520,Team C,South,2023-02-25,
SR521,Name 521,Team D,West,2023-04-10,
SR522,Name 522,Team B,North,2023-02-11,
SR523,Name 523,Team A,South,2023-03-06,2023-09-01
SR524,Name 524,Team C,South,2023-04-11,
SR525,Name 525,Team D,East,2023-02-19,
SR526,Name 526,Team D,North,2023-02-26,2023-09-01
SR527,Name 527,Team B,West,2023-03-16,2023-09-01
SR528,Name 528,Team C,South,2023-01-04,
SR529,Name 529,Team B,,2023-02-22,
SR530,Name 530,Team A,East,2023-02-18,2023-09-01
SR531,Name 531,Team D,South,2023-02-22,
SR532,Name 532,Team D,,2023-02-09,2023-09-01
SR533,Name 533,Team A,,2023-01-03,2023-09-01
SR534,Name 534,Team C,North,2023-02-05,
SR535,Name 535,Team B,East,2023-01-13,2023-09-01
SR536,Name 536,Team C,East,2023-02-20,2023-09-01
SR537,Name 537,Team C,West,2023-03-12,2023-09-01
SR538,Name 538,Team C,North,2023-04-11,
SR539,Name 539,Team C,South,2023-02-18,2023-09-01
SR540,Name 540,Team C,South,2023-02-27,
